Entertainer,Gender,Birth_Year,Year_of_Breakthrough_or_Hit_or_Award_Nomination,Breakthrough_Name,Year_of_First_Award,Year_of_Last_Major_Work,Year_of_Death,Occupation,First_Award,Total no of Nominations,Total Awards won,Oscar Won,Grammy Won,Emmy Won,Other Awards ,Photo
Keifer Sutherland,M,1966,2001,24,2006,2016,"
",Actor,Emmy,61,21,0,0,1,20,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kiefer_Sutherland_2_SDCC_2014.jpg/220px-Kiefer_Sutherland_2_SDCC_2014.jpg
Kirk Douglas,M,1916,1949,Champion,1996,2004,"
",Actor,Oscar,25,34,0,0,0,34,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Studio_publicity_Kirk_Douglas.jpg/220px-Studio_publicity_Kirk_Douglas.jpg
Lady Gaga,F,1986,2008,The Fame,2010,2016,"
",Singer,American Music Awards,219,85,1,12,0,72,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg/220px-Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg
Leonard Bernstein,M,1918,1957,West Side Story,1962,1989,1990,Singer,Grammy,56,29,0,17,7,5,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Leonard_Bernstein_by_Jack_Mitchell.jpg/220px-Leonard_Bernstein_by_Jack_Mitchell.jpg
Leonardo DiCaprio,M,1974,1997,Titanic,2016,2016,"
",Actor,Oscar,261,101,1,0,0,100,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Leonardo_DiCaprio_2014.jpg/220px-Leonardo_DiCaprio_2014.jpg
Louis Armstrong,M,1901,1964,"Hello, Dolly!",1972,1970,1971,Singer,Grammy,2,2,0,2,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Louis_Armstrong_restored.jpg/220px-Louis_Armstrong_restored.jpg
Madonna,F,1958,1984,Like A Virgin,1992,2015,"
",Singer,Grammy,118,50,0,6,0,44,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Madonna_Rebel_Heart_Tour_2015_-_Stockholm_%2823051472299%29_%28cropped%29.jpg/220px-Madonna_Rebel_Heart_Tour_2015_-_Stockholm_%2823051472299%29_%28cropped%29.jpg
Mariah Carey,F,1969,1990,Mariah Carey,1991,2014,"
",Singer,Gilbert Music Award,140,86,0,6,0,80,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Mariah_Carey_WBLS_2018_Interview_2.jpg/220px-Mariah_Carey_WBLS_2018_Interview_2.jpg
Marlon Brando,M,1924,1951,Streetcar Named Desire,1955,2001,2004,Actor,Oscar,36,34,2,0,1,31,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Marlon_Brando_publicity_for_One-Eyed_Jacks.png/220px-Marlon_Brando_publicity_for_One-Eyed_Jacks.png
Mary Tyler Moore,F,1936,1961,The Dick Van Dyke Show,1964,2013,"
",Actress,Emmy,31,30,0,0,7,23,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Mary_Tyler_Moore_rework.jpg/220px-Mary_Tyler_Moore_rework.jpg
Meryl Streep,F,1949,1978,The Deer Hunter,1980,2016,"
",Actress,Oscar,376,178,3,0,3,172,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Meryl_Streep_December_2018.jpg/220px-Meryl_Streep_December_2018.jpg
Mick Jagger,M,1943,1965,(I Can't Get No) Satisfaction,1987,2016,"
",Singer,MTV Video Music Awards,10,10,0,0,0,10,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Mick_Jagger_Deauville_2014.jpg/220px-Mick_Jagger_Deauville_2014.jpg
Morgan Freeman,M,1937,1989,Driving Miss Daisy and Glory,2005,2016,"
",Actor,Oscar,83,63,1,0,0,62,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Morgan_Freeman_Deauville_2018.jpg/220px-Morgan_Freeman_Deauville_2018.jpg
Oprah Winfrey,F,1954,1985,The Color Purple,1987,2016,"
",Host,Golden Globe,91,54,0,0,18,36,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Oprah_in_2014.jpg/220px-Oprah_in_2014.jpg
Paul McCartney,M,1942,1963,I Want to Hold Your Hand,1971,2016,"
",Singer,Oscar,87,34,1,14,0,19,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Paul_McCartney_2021_%28cropped%29.jpg/220px-Paul_McCartney_2021_%28cropped%29.jpg
Paul Newman,M,1925,1958,Cat on a Hot Tin Roof,1986,2005,2008,Actor,Oscar,70,38,1,0,1,36,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Paul_Newman_-_1958.jpg/220px-Paul_Newman_-_1958.jpg
